"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
331,43,31445.6,9310.41,4057.67,5.82716
332,43,2155.72,9382.24,3646.27,6.40836
333,43,15380.3,10978.7,2468.37,9.13623
334,43,2198.12,13514.5,3215.15,7.17593
335,43,15844.1,13990,2577.46,8.77932
336,43,13751.9,14296,4147.6,5.71535
337,43,10616.7,16414.3,5425.31,4.52442
338,43,5811.55,17129.3,2917.48,7.83751
339,43,23715.6,17760.9,4044.32,5.84417
340,43,8467.26,18398.3,2043.05,10.8906
341,43,18403.6,18617.3,1852.73,11.9357
342,43,1270.14,18991.7,7402.21,3.48465
343,43,22417.3,21236.6,1823.14,12.1178
344,43,42436.8,21628.2,2671.46,8.49507
345,43,39908.6,22009.1,5905.17,4.20902
346,43,49319.4,25203.8,3033.53,7.56421
347,43,37514.2,26895.4,4711.02,5.11134
348,43,47446.5,27193.8,3734.47,6.27305
349,43,45505.6,27393.4,3340.48,6.93248
350,43,25053.9,27984.2,3074.73,7.47213
351,43,29529.5,29507.9,2601.83,8.70366
352,43,20981.3,29894.8,1301.49,16.684
353,43,32359.3,32488.2,5249.49,4.65422
354,43,3363.72,33810.9,3250.54,7.10528
355,43,35500.1,34040,2151.56,10.3773
356,43,24812.8,34705.6,3136.23,7.33914
357,43,43842.6,34983.2,2413.83,9.32675
358,43,23503.8,34933.4,5297.65,4.61782
359,43,48339.6,35042.3,3132.75,7.34653
360,43,46913.9,35264.4,4495.75,5.3244
361,43,2684.79,36076.6,3710.1,6.3098
362,43,1747.02,37318,1747.7,12.6097
363,43,4983.51,37646.4,3229.65,7.14679
364,43,5851.72,40411.6,3694.43,6.33368
365,43,3737.4,42358.1,4067.53,5.81466
366,43,49627.6,42363.3,3016.12,7.60387
367,43,5842.17,44420.3,3360.21,6.8958
368,43,35673.2,45186.3,3418.23,6.79037
369,43,4081.49,45407.1,4151.67,5.71042
370,43,27293.1,45681.7,1983.28,11.1972
371,43,40438.4,46209.6,2023.9,10.9869
372,43,28289,47215,3473.36,6.69346
373,43,5943.28,48735.4,7740.49,3.35917
374,44,46355.8,609.398,3832.53,6.12987
375,44,22436.3,830.922,6037.47,4.13077
376,44,6791.4,1134.03,5140.99,4.73871
377,44,36694.8,2234.8,3263.89,7.07904
378,44,33318,2482.48,3652.07,6.39926
379,44,9687.66,3513.93,2883.83,7.92086
380,44,38042.4,4236.72,4514.32,5.30523
381,44,43873.3,5403.27,3657.3,6.3911
382,44,32335.8,5465.41,4031.56,5.86055
383,44,12346.1,6851.58,3104.9,7.40624
384,44,7717.81,7542.07,11257.4,2.49332
385,44,31454.3,9294.34,3787.85,6.1942
386,44,2135.41,9371.45,3693.85,6.33457
387,44,15340.2,10968.6,2658.69,8.5325
388,44,2193.11,13534.4,3203.54,7.19943
389,44,15826.3,14022.9,2678.42,8.47481
390,44,13786.9,14284.2,3959.6,5.95481
391,44,10636.7,16427.2,5529.17,4.45157
392,44,5767.89,17123.6,3094.46,7.4289
393,44,23683.5,17778,4098.28,5.77606
394,44,8507.57,18377.5,2088.31,10.67
395,44,18332.9,18636.8,1840.54,12.01
396,44,1256.25,18997.5,7442.25,3.46921
397,44,22421.9,21236.4,1688.52,13.0264
398,44,42479.6,21637.5,2673.78,8.48831
399,44,39910.4,22016.5,5841.35,4.24802
400,44,49317,25200.6,2998.14,7.64534
401,44,37506.9,26884.9,4688.4,5.13283
402,44,47442.3,27204.1,3620.16,6.44968
403,44,45483.4,27397.6,3487.86,6.66846
404,44,25046.7,27994.1,3011.48,7.61453
405,44,29539.5,29524.3,2550.77,8.86384
406,44,21017.9,29891.7,1347.91,16.1346
407,44,32349.4,32482.9,5259.36,4.64671
408,44,3381.78,33831,3348.6,6.91732
409,44,35502.3,34089.5,2256,9.92974
410,44,24813.4,34722.8,3027.15,7.5787
411,44,43831.9,34979.4,2373.21,9.47429
412,44,23498.6,34908.2,5066.72,4.79861
413,44,48323.6,35033.3,3246.48,7.11331
414,44,46888.2,35301.1,4378.54,5.44914
415,44,2692.81,36110.7,3869.67,6.07753
416,44,1738.21,37322.1,1762.21,12.5119
417,44,4990.74,37670,3265.05,7.07677
418,44,5836.91,40410.8,4108.73,5.76309
