"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
362,44,9691.63,3104.64,2743.99,8.28901
363,44,38062.7,3860.61,3645.11,6.41019
364,44,43904.4,4993.91,3289.42,7.02943
365,44,32295.6,5021.06,3575.48,6.52177
366,44,12345.8,6418.23,2688.28,8.44628
367,44,7724.04,7097.54,7927.33,3.29436
368,44,31472.2,8895.45,2945.33,7.76996
369,44,2008.13,8956.46,2456.19,9.17806
370,44,15366.6,10584.7,2665.65,8.51204
371,44,2199.13,13082.8,2760.81,8.24274
372,44,15767.2,13537,2717.88,8.36193
373,44,13760.6,13881.1,3183.81,7.23977
374,44,10633.8,16006.4,3581.86,6.51136
375,44,5757.12,16655.9,2780.54,8.18921
376,44,23718.1,17306.5,4423.8,5.4002
377,44,8470.11,17950.7,2297.78,9.76209
378,44,18342.3,18254.2,2233.95,10.0208
379,44,1181.25,18592.7,5830.9,4.25448
380,44,22334.3,20804.9,1751.77,12.5822
381,44,42496.4,21240.4,2594.28,8.72693
382,44,39857.1,21539.3,4758.02,5.06736
383,44,49297.3,24797.6,2832.19,8.0526
384,44,37458.3,26490.4,4134.84,5.73093
385,44,47466.2,26808.7,2987.69,7.66964
386,44,45543.2,27008,3095.04,7.42764
387,44,25007,27587.6,3120.57,7.37252
388,44,29462.9,29082.1,2410.93,9.33712
389,44,20979.9,29496.5,1561.44,14.0277
390,44,32283.5,32019.9,3792.49,6.18744
391,44,3308.49,33431.1,3248.22,7.10987
392,44,35538.6,33710,1542.3,14.1928
393,44,24773.4,34349,3176.85,7.25413
394,44,43820,34579.4,2104.56,10.5931
395,44,23449.3,34523.7,4346.63,5.48426
396,44,48290,34622.6,3115.35,7.38372
397,44,46922.4,34826.3,4878.72,4.95828
398,44,2638.98,35735.7,2916.9,7.83893
399,44,1684.48,36938.3,1481.95,14.7412
400,44,4935.98,37210.6,2811.88,8.10573
401,44,5858.39,40019.2,2637.22,8.59626
402,44,3662.22,41955.5,3226.75,7.1526
403,44,5882.9,44065.1,2199.14,10.1681
404,44,35654.7,44832.6,2366.25,9.50009
405,44,3969.4,44962,2847.27,8.01362
406,44,27244.8,45222.5,2054.07,10.836
407,44,40457.9,45806.7,1375.19,15.8291
408,44,28260.5,46788.3,1522.57,14.3673
409,44,5889.61,48339.6,5283.15,4.62872
410,61,6680.33,699.301,4233.48,5.61299
411,61,36690.6,1817.59,3438.54,6.75431
412,61,33335.1,2021.91,3663.1,6.38205
413,61,9694.66,3101.6,2851.91,8.00171
414,61,38064.7,3858.49,3916.67,6.0127
415,61,43894.6,5007.06,3843.56,6.11423
416,61,32299,5027.06,3942.78,5.97735
417,61,12358.3,6422.14,3017.86,7.59989
418,61,7733.75,7081.38,8197.73,3.2057
419,61,31456.9,8905.12,3258.67,7.08928
420,61,2066.22,8944.03,2812.46,8.1042
421,61,15379.5,10585.2,3039.33,7.55109
422,61,2191.49,13115.8,2850.17,8.00617
423,61,15769.5,13544.2,2908.78,7.85888
424,61,13771,13871.5,3262.15,7.08245
425,61,10627,16028.1,3960.77,5.95326
426,61,5759.92,16646.8,3014.38,7.60786
427,61,23728.9,17334.7,4837.52,4.99491
428,61,8476.33,17957.3,2506.67,9.00741
429,61,18336.5,18252.9,2463.73,9.15212
430,61,1245.37,18623.3,6349.64,3.95888
431,61,22340.6,20808.2,1777.3,12.4118
432,61,42484.8,21252.4,2715.56,8.36848
433,61,39851.6,21563.4,5081.22,4.78677
434,61,49308.8,24777.6,3135.65,7.34037
435,61,37413.9,26529.3,4278.74,5.56069
436,61,47487.3,26832.1,3394.44,6.83316
437,61,45533.4,27003.5,3434.48,6.76149
438,61,25008.2,27613,3259.83,7.08701
439,61,29469.7,29074.6,2459.09,9.16807
440,61,20932.8,29469.5,1573.05,13.9295
441,61,32303.8,32016.2,3715.9,6.30101
442,61,3287.82,33470.9,3540.09,6.58016
443,61,35536.5,33707.8,1627.59,13.487
444,61,24809.9,34370.5,3372.4,6.87336
445,61,43824,34585.9,2420.79,9.30195
446,61,23424,34525.7,4236.96,5.60893
447,61,48327.6,34618.5,3199.48,7.20769
448,61,46923.1,34804.3,5357.42,4.57354
449,61,2620.96,35748,2927.35,7.81344
450,61,1667.56,36963.6,1418.12,15.3719
451,61,4902.98,37230.6,2920.96,7.829
452,61,5871.44,40035.9,3020.77,7.59325
453,61,3671.12,41930.5,3459.43,6.71765
454,61,5895.54,44045,2141.69,10.4218
455,61,35642,44817.5,2297.2,9.76438
456,61,3973.06,44977.6,3216.89,7.17242
457,61,27246.7,45232.4,2068.58,10.765
458,61,40447.7,45773,1400.72,15.5539
459,61,28267.7,46796.7,1577.11,13.8955
460,61,5901.85,48311.7,5303.46,4.61348
461,62,6676.74,681.516,4397.69,5.42831
462,62,36698.6,1803.28,3259.83,7.08701
463,62,33340.7,2027.22,3606.23,6.47196
464,62,9688.12,3121.37,3089.81,7.43902
465,62,38067.4,3843.14,3701.98,6.32216
466,62,43900.7,5010.97,3682.25,6.35239
467,62,32313.4,5037.16,3602.17,6.47849
468,62,12329.6,6413.75,2818.84,8.08743
469,62,7734.23,7070.91,8219.2,3.19891
470,62,31498.5,8875.43,3159.44,7.29029
471,62,2089.58,8940.84,2862.36,7.97505
472,62,15367.3,10605.3,2927.93,7.81203
473,62,2211.82,13094.4,2967.96,7.71601
474,62,15773.3,13538.9,2750.37,8.27139
475,62,13761.9,13875.9,3260.41,7.08587
476,62,10631.4,16027.9,3952.64,5.96411
477,62,5763.3,16649.9,3027.73,7.57738
478,62,23736.4,17329.1,4632.11,5.18717
479,62,8486.05,17949.7,2488.68,9.06742
480,62,18344.8,18256.7,2401.64,9.37049
481,62,1246.86,18627.3,6251,4.01137
482,62,22357,20848.5,1757.57,12.543
483,62,42503,21254.4,2796.79,8.14569
484,62,39853.2,21533.4,4811.41,5.01845
485,62,49268.1,24799,2832.19,8.0526
486,62,37460.8,26511.4,4055.35,5.83011
487,62,47478.2,26803.4,3218.05,7.17008
488,62,45533,27020.6,3292.9,7.02273
489,62,25014,27567.6,3078.21,7.46446
490,62,29470.5,29082.8,2239.75,9.99663
491,62,20956.1,29474.2,1846.35,11.9745
492,62,32306.3,32028.7,3804.68,6.16979
493,62,3277.86,33454.8,3429.26,6.77074
494,62,35501.7,33678.3,1633.98,13.4371
495,62,24818.8,34367.8,3131.01,7.35023
496,62,43816.4,34586.5,2110.94,10.5633
497,62,23443.1,34532.6,4225.36,5.6225
498,62,48305,34634,3248.22,7.10987
499,62,46915,34812.8,5234.99,4.66532
500,62,2650.79,35740.3,3090.98,7.43649
501,62,1690.5,36924.6,1480.79,14.7522
502,62,4912.51,37240.3,2716.72,8.3652
503,62,5889.92,40061.3,2919.8,7.83183
504,62,3666.39,41932.4,3216.89,7.17242
505,62,5865.64,44049.9,2236.85,10.0087
506,62,35696,44824.9,2412.67,9.33089
507,62,3984.64,44973.6,3135.65,7.34037
508,62,27227.8,45237.2,2142.85,10.4165
509,62,40465.1,45789.9,1368.22,15.9059
510,62,28298.9,46779.6,1411.74,15.4381
511,62,5904.77,48320.3,5381.79,4.55577
